State,Date,Total Cases
Florida,May 14 2020,42540
Florida,May 13 2020,41755
Florida,May 12 2020,40964
Florida,May 11 2020,40165
Florida,May 10 2020,39559
Florida,May  9 2020,39176
Florida,May  8 2020,38496
Florida,May  7 2020,37728
Florida,May  6 2020,37384
Florida,May  5 2020,36758
Florida,May  4 2020,36176
Florida,May  3 2020,35602
Florida,May  2 2020,34835
Florida,May  1 2020,34204
Florida,Apr 30 2020,33501
Florida,Apr 29 2020,32525
Florida,Apr 28 2020,32011
Florida,Apr 27 2020,31668
Florida,Apr 26 2020,30922
Florida,Apr 25 2020,30403
Florida,Apr 24 2020,29609
Florida,Apr 23 2020,28875
Florida,Apr 22 2020,27663
Florida,Apr 21 2020,26966
Florida,Apr 20 2020,26107
Florida,Apr 19 2020,25362
Florida,Apr 18 2020,24651
Florida,Apr 17 2020,23910
Florida,Apr 16 2020,22830
Florida,Apr 15 2020,21632
Florida,Apr 14 2020,20732
Florida,Apr 13 2020,20140
Florida,Apr 12 2020,19218
Florida,Apr 11 2020,18409
Florida,Apr 10 2020,17346
Florida,Apr  9 2020,16257
Florida,Apr  8 2020,15223
Florida,Apr  7 2020,14176
Florida,Apr  6 2020,13170
Florida,Apr  5 2020,12011
Florida,Apr  4 2020,11247
Florida,Apr  3 2020,10098
Florida,Apr  2 2020,8818
Florida,Apr  1 2020,7550
Florida,Mar 31 2020,6519
Florida,Mar 30 2020,5614
Florida,Mar 29 2020,4763
Florida,Mar 28 2020,3885
Florida,Mar 27 2020,3178
Florida,Mar 26 2020,2519
Florida,Mar 25 2020,1984
Florida,Mar 24 2020,1487
Florida,Mar 23 2020,1204
Florida,Mar 22 2020,1028
Florida,Mar 21 2020,731
Florida,Mar 20 2020,528
Florida,Mar 19 2020,386
Florida,Mar 18 2020,310
Florida,Mar 17 2020,211
Florida,Mar 16 2020,149
Florida,Mar 15 2020,122
Florida,Mar 14 2020,91
Florida,Mar 13 2020,51
Florida,Mar 12 2020,31
Florida,Mar 11 2020,26
Florida,Mar 10 2020,20
Florida,Mar  9 2020,18
Florida,Mar  8 2020,13
Florida,Mar  7 2020,12
Florida,Mar  6 2020,8
Florida,Mar  5 2020,8
Florida,Mar  4 2020,7
Florida,Mar  3 2020,3
Florida,Mar  2 2020,2
Florida,Mar  1 2020,0
Florida,Feb 29 2020,0
Florida,Feb 28 2020,0
Florida,Feb 27 2020,0
Florida,Feb 26 2020,0
Florida,Feb 25 2020,0
Florida,Feb 24 2020,0
Florida,Feb 23 2020,0
Florida,Feb 22 2020,0
Florida,Feb 21 2020,0
Florida,Feb 20 2020,0
Florida,Feb 19 2020,0
Florida,Feb 18 2020,0
Florida,Feb 17 2020,0
Florida,Feb 16 2020,0
Florida,Feb 15 2020,0
Florida,Feb 14 2020,0
Florida,Feb 13 2020,0
Florida,Feb 12 2020,0
Florida,Feb 11 2020,0
Florida,Feb 10 2020,0
Florida,Feb  9 2020,0
Florida,Feb  8 2020,0
Florida,Feb  7 2020,0
Florida,Feb  6 2020,0
Florida,Feb  5 2020,0
Florida,Feb  4 2020,0
Florida,Feb  3 2020,0
Florida,Feb  2 2020,0
Florida,Feb  1 2020,0
Florida,Jan 31 2020,0
Florida,Jan 30 2020,0
Florida,Jan 29 2020,0
Florida,Jan 28 2020,0
Florida,Jan 27 2020,0
Florida,Jan 26 2020,0
Florida,Jan 25 2020,0
Florida,Jan 24 2020,0
Florida,Jan 23 2020,0
